,F7D0,,F7D1,,F7D2,,F7D3,,F7D4,,F7D5,,F7D6,,F7D7,,F7D8,,F7D9,,F7DA,,F7DB,,F7DC,,F7DD,,F7DE,,F7DF
,F7E0,,F7E1,,F7E2,,F7E3,,F7E4,,F7E5,,F7E6,,F7E7,,F7E8,,F7E9,,F7EA,,F7EB,,F7EC,,F7ED,,F7EE,,F7EF
,F7F0,,F7F1,,F7F2,,F7F3,,F7F4,,F7F5,,F7F6,,F7F7,,F7F8,,F7F9,,F7FA,,F7FB,,F7FC,,F7FD,,F7FE,,F7FF
,F800,,F801,,F802,,F803,,F804,,F805,,F806,,F807,,F808,,F809,,F80A,,F80B,,F80C,,F80D,,F80E,,F80F
,F810,,F811,,F812,,F813,,F814,,F815,,F816,,F817,,F818,,F819,,F81A,,F81B,,F81C,,F81D,,F81E,,F81F
,F820,,F821,,F822,,F823,,F824,,F825,,F826,,F827,,F828,,F829,,F82A,,F82B,,F82C,,F82D,,F82E,,F82F
,F830,,F831,,F832,,F833,,F834,,F835,,F836,,F837,,F838,,F839,,F83A,,F83B,,F83C,,F83D,,F83E,,F83F
,F840,,F841,,F842,,F843,,F844,,F845,,F846,,F847,,F848,,F849,,F84A,,F84B,,F84C,,F84D,,F84E,,F84F
,F850,,F851,,F852,,F853,,F854,,F855,,F856,,F857,,F858,,F859,,F85A,,F85B,,F85C,,F85D,,F85E,,F85F
,F860,,F861,,F862,,F863,,F864,,F865,,F866,,F867,,F868,,F869,,F86A,,F86B,,F86C,,F86D,,F86E,,F86F
,F870,,F871,,F872,,F873,,F874,,F875,,F876,,F877,,F878,,F879,,F87A,,F87B,,F87C,,F87D,,F87E,,F87F
,F880,,F881,,F882,,F883,,F884,,F885,,F886,,F887,,F888,,F889,,F88A,,F88B,,F88C,,F88D,,F88E,,F88F
,F890,,F891,,F892,,F893,,F894,,F895,,F896,,F897,,F898,,F899,,F89A,,F89B,,F89C,,F89D,,F89E,,F89F
,F8A0,,F8A1,,F8A2,,F8A3,,F8A4,,F8A5,,F8A6,,F8A7,,F8A8,,F8A9,,F8AA,,F8AB,,F8AC,,F8AD,,F8AE,,F8AF
,F8B0,,F8B1,,F8B2,,F8B3,,F8B4,,F8B5,,F8B6,,F8B7,,F8B8,,F8B9,,F8BA,,F8BB,,F8BC,,F8BD,,F8BE,,F8BF
,F8C0,,F8C1,,F8C2,,F8C3,,F8C4,,F8C5,,F8C6,,F8C7,,F8C8,,F8C9,,F8CA,,F8CB,,F8CC,,F8CD,,F8CE,,F8CF
,F8D0,,F8D1,,F8D2,,F8D3,,F8D4,,F8D5,,F8D6,,F8D7,,F8D8,,F8D9,,F8DA,,F8DB,,F8DC,,F8DD,,F8DE,,F8DF
,F8E0,,F8E1,,F8E2,,F8E3,,F8E4,,F8E5,,F8E6,,F8E7,,F8E8,,F8E9,,F8EA,,F8EB,,F8EC,,F8ED,,F8EE,,F8EF
,F8F0,,F8F1,,F8F2,,F8F3,,F8F4,,F8F5,,F8F6,,F8F7,,F8F8,,F8F9,,F8FA,,F8FB,,F8FC,,F8FD,,F8FE,,F8FF
豈,F900,更,F901,車,F902,賈,F903,滑,F904,串,F905,句,F906,龜,F907,龜,F908,契,F909,金,F90A,喇,F90B,奈,F90C,懶,F90D,癩,F90E,羅,F90F
蘿,F910,螺,F911,裸,F912,邏,F913,樂,F914,洛,F915,烙,F916,珞,F917,落,F918,酪,F919,駱,F91A,亂,F91B,卵,F91C,欄,F91D,爛,F91E,蘭,F91F
鸞,F920,嵐,F921,濫,F922,藍,F923,襤,F924,拉,F925,臘,F926,蠟,F927,廊,F928,朗,F929,浪,F92A,狼,F92B,郎,F92C,來,F92D,冷,F92E,勞,F92F
擄,F930,櫓,F931,爐,F932,盧,F933,老,F934,蘆,F935,虜,F936,路,F937,露,F938,魯,F939,鷺,F93A,碌,F93B,祿,F93C,綠,F93D,菉,F93E,錄,F93F
鹿,F940,論,F941,壟,F942,弄,F943,籠,F944,聾,F945,牢,F946,磊,F947,賂,F948,雷,F949,壘,F94A,屢,F94B,樓,F94C,淚,F94D,漏,F94E,累,F94F
縷,F950,陋,F951,勒,F952,肋,F953,凜,F954,凌,F955,稜,F956,綾,F957,菱,F958,陵,F959,讀,F95A,拏,F95B,樂,F95C,諾,F95D,丹,F95E,寧,F95F
怒,F960,率,F961,異,F962,北,F963,磻,F964,便,F965,復,F966,不,F967,泌,F968,數,F969,索,F96A,參,F96B,塞,F96C,省,F96D,葉,F96E,說,F96F
